iter	Passed	Remaining
0	1	132
1	2	142
2	4	139
3	5	136
4	7	136
5	8	136
6	10	142
7	12	139
8	13	134
9	14	129
10	15	125
11	16	124
12	18	121
13	19	119
14	20	117
15	21	114
16	22	111
17	24	110
18	25	108
19	26	106
20	27	104
21	28	102
22	30	100
23	31	99
24	32	98
25	33	96
26	34	94
27	35	92
28	37	90
29	38	89
30	39	88
31	40	86
32	41	84
33	42	83
34	44	81
35	45	80
36	46	79
37	47	77
38	48	76
39	49	74
40	51	73
41	51	71
42	52	69
43	54	68
44	55	67
45	56	66
46	57	64
47	58	63
48	59	62
49	60	60
50	62	59
51	63	58
52	64	57
53	65	55
54	66	54
55	67	53
56	69	52
57	70	50
58	71	49
59	72	48
60	73	47
61	74	45
62	76	44
63	77	43
64	78	42
65	79	41
66	80	39
67	82	38
68	83	37
69	84	36
70	85	34
71	86	33
72	87	32
73	88	31
74	90	30
75	91	28
76	92	27
77	93	26
78	94	25
79	96	24
80	97	22
81	98	21
82	100	20
83	101	19
84	102	18
85	103	16
86	104	15
87	106	14
88	107	13
89	108	12
90	109	10
91	110	9
92	112	8
93	113	7
94	114	6
95	115	4
96	117	3
97	118	2
98	119	1
99	120	0
