iter	Passed	Remaining
0	156	156810
1	158	79031
2	159	53115
3	161	40147
4	162	32366
5	163	27154
6	165	23451
7	166	20699
8	168	18563
9	170	16832
10	171	15409
11	172	14221
12	174	13225
13	175	12382
14	177	11639
15	178	10980
16	179	10407
17	181	9907
18	182	9438
19	184	9035
20	185	8658
21	187	8319
22	188	8007
23	189	7720
24	191	7465
25	193	7232
26	194	7007
27	195	6799
28	197	6605
29	198	6425
30	200	6261
31	201	6101
32	202	5944
33	204	5801
34	205	5662
35	206	5536
36	208	5418
37	209	5304
38	211	5205
39	213	5116
40	214	5025
41	216	4941
42	218	4861
43	220	4780
44	221	4701
45	222	4622
46	224	4548
47	225	4478
48	227	4407
49	228	4342
50	229	4277
51	231	4222
52	233	4166
53	234	4107
54	235	4050
55	237	3998
56	238	3948
57	240	3901
58	241	3857
59	243	3810
60	244	3767
61	246	3730
62	249	3706
63	250	3669
64	254	3654
65	255	3620
66	257	3583
67	258	3546
68	260	3510
69	261	3476
70	263	3443
71	264	3409
72	266	3378
73	267	3345
74	268	3317
75	270	3288
76	271	3259
77	273	3233
78	274	3205
79	276	3176
80	277	3149
81	279	3125
82	279	3092
83	281	3066
84	282	3040
85	283	3016
86	285	2992
87	286	2969
88	287	2945
89	289	2922
90	290	2900
91	291	2879
92	293	2860
93	294	2840
94	296	2820
95	297	2800
96	299	2785
97	300	2766
98	301	2747
99	303	2728
100	304	2712
101	305	2693
102	307	2676
103	308	2660
104	310	2643
105	311	2627
106	312	2611
107	314	2597
108	316	2584
109	317	2571
110	319	2555
111	320	2540
112	322	2527
113	323	2514
114	325	2505
115	327	2497
116	329	2483
117	330	2471
118	332	2458
119	333	2446
120	335	2436
121	336	2423
122	338	2414
123	340	2403
124	341	2389
125	343	2379
126	344	2367
127	346	2358
128	347	2346
129	348	2335
130	350	2326
131	352	2318
132	353	2307
133	355	2295
134	356	2284
135	358	2274
136	359	2264
137	360	2254
138	362	2244
139	363	2234
140	365	2225
141	366	2213
142	367	2204
143	369	2194
144	371	2187
145	372	2179
146	374	2171
147	375	2163
148	377	2156
149	379	2151
150	381	2143
151	385	2153
152	388	2148
153	389	2141
154	391	2133
155	392	2125
156	394	2119
157	396	2112
158	397	2104
159	399	2096
160	400	2085
161	401	2076
162	402	2068
163	404	2060
164	405	2052
165	406	2044
166	408	2035
167	409	2028
168	411	2021
169	412	2014
170	414	2007
171	415	1999
172	417	1993
173	418	1986
174	420	1980
175	421	1973
176	422	1965
177	424	1960
178	426	1953
179	427	1947
180	428	1941
181	430	1934
182	432	1928
183	433	1923
184	435	1916
185	436	1910
186	437	1903
187	439	1898
188	441	1892
189	442	1886
190	444	1880
191	445	1874
192	447	1869
193	448	1862
194	449	1856
195	450	1849
196	452	1843
197	453	1838
198	455	1834
199	457	1828
200	458	1823
201	460	1817
202	461	1813
203	463	1807
204	464	1802
205	466	1796
206	467	1791
207	470	1790
208	471	1784
209	472	1778
210	474	1773
211	475	1768
212	477	1763
213	478	1759
214	480	1755
215	482	1750
216	484	1746
217	485	1741
218	486	1735
219	488	1730
220	489	1725
221	491	1722
222	493	1718
223	494	1714
224	496	1709
225	497	1704
226	498	1698
227	500	1693
228	501	1688
229	502	1683
230	504	1678
231	506	1675
232	507	1670
233	509	1666
234	510	1662
235	512	1657
236	514	1655
237	515	1651
238	517	1646
239	518	1642
240	520	1638
241	521	1634
242	523	1630
243	524	1626
244	526	1621
245	527	1617
246	529	1612
247	530	1608
248	531	1603
249	533	1599
250	534	1595
251	536	1591
252	537	1587
253	539	1583
254	540	1579
255	541	1574
256	543	1571
257	544	1567
258	546	1562
259	547	1558
260	549	1554
261	550	1551
262	552	1548
263	554	1544
264	555	1540
265	556	1536
266	558	1533
267	559	1529
268	561	1525
269	562	1521
270	563	1517
271	565	1512
272	567	1510
273	568	1506
274	570	1502
275	571	1499
276	573	1497
277	574	1493
278	576	1489
279	577	1485
280	579	1482
281	580	1478
282	582	1475
283	583	1471
284	584	1466
285	586	1463
286	587	1459
287	589	1456
288	590	1452
289	591	1449
290	593	1445
291	595	1442
292	596	1439
293	598	1436
294	599	1432
295	600	1428
296	602	1426
297	604	1423
298	605	1419
299	606	1415
300	608	1412
301	609	1408
302	611	1406
303	612	1402
304	613	1398
305	615	1395
306	616	1392
307	618	1389
308	619	1385
309	621	1383
310	622	1379
311	624	1376
312	625	1373
